,star,review,rating,price
0,4.0,5334.0,8.2,427.0
1,4.0,2329.0,8.3,485.0
2,4.0,6558.0,8.1,408.0
4,4.0,2378.0,8.6,395.0
5,3.0,636.0,8.2,350.0
6,4.0,1543.0,8.4,334.0
7,4.0,1553.0,8.7,525.0
8,4.0,413.0,8.6,399.0
9,4.0,870.0,8.2,399.0
10,4.0,264.0,8.7,439.0
11,5.0,220.0,8.5,333.0
12,4.0,7045.0,8.2,395.0
13,4.0,2216.0,8.5,449.0
14,5.0,401.0,8.7,575.0
16,3.0,3444.0,8.0,306.0
17,4.0,264.0,8.7,439.0
19,4.0,2707.0,7.9,288.0
20,4.0,297.0,8.1,665.0
21,4.0,2378.0,8.6,395.0
22,5.0,281.0,8.9,871.0
24,4.0,1110.0,8.0,459.0
25,4.0,1537.0,8.5,433.0
26,5.0,127.0,8.5,1100.0
27,4.0,3941.0,8.7,370.0
29,4.0,1243.0,8.3,445.0
30,4.0,4452.0,8.3,450.0
31,3.0,2348.0,7.7,245.0
34,4.0,784.0,8.0,311.0
36,3.0,1776.0,8.9,339.0
38,3.0,636.0,8.2,350.0
40,3.0,1024.0,8.5,538.0
41,3.0,881.0,8.5,365.0
42,3.0,3920.0,7.6,319.0
44,4.0,1146.0,8.6,431.0
47,4.0,2243.0,8.7,368.0
48,4.0,424.0,8.5,314.0
49,4.0,1599.0,8.2,508.0
50,3.0,302.0,8.6,440.0
53,4.0,857.0,8.6,309.0
54,4.0,2514.0,7.7,306.0
56,3.0,1120.0,8.1,329.0
57,3.0,884.0,7.7,322.0
59,3.0,943.0,7.4,352.0
60,4.0,641.0,8.5,359.0
63,3.0,1913.0,8.4,336.0
64,4.0,331.0,8.7,454.0
65,4.0,562.0,8.9,399.0
69,4.0,427.0,8.8,379.0
70,5.0,167.0,9.2,1275.0
73,5.0,384.0,8.4,940.0
74,4.0,447.0,9.1,475.0
76,3.0,999.0,7.9,287.0
79,4.0,670.0,8.9,536.0
81,5.0,297.0,8.5,509.0
82,4.0,698.0,9.1,545.0
86,5.0,166.0,8.5,1095.0
88,3.0,753.0,8.2,254.0
89,3.0,316.0,7.6,309.0
90,4.0,714.0,9.1,340.0
92,5.0,159.0,8.3,669.0
96,4.0,740.0,8.4,377.0
97,3.0,1033.0,7.9,237.0
99,3.0,1060.0,7.7,152.0
100,4.0,455.0,8.3,413.0
102,3.0,1223.0,7.1,339.0
104,3.0,1218.0,8.2,237.0
105,4.0,474.0,8.5,467.0
108,3.0,768.0,8.5,379.0
109,5.0,159.0,8.3,669.0
110,2.0,554.0,8.2,309.0
111,5.0,95.0,8.7,655.0
116,3.0,505.0,8.9,409.0
117,3.0,698.0,7.7,219.0
118,2.0,37.0,6.8,279.0
125,4.0,499.0,9.0,307.0
129,2.0,255.0,5.5,109.0
133,3.0,253.0,7.2,175.0
138,2.0,8.0,7.6,304.0
139,3.0,244.0,7.4,189.0
140,2.0,3.0,7.7,170.0
191,4.0,413.0,8.6,399.0
193,4.0,7045.0,8.2,395.0
198,5.0,401.0,8.7,575.0
200,4.0,713.0,8.6,349.0
201,4.0,6114.0,8.2,531.0
203,4.0,264.0,8.7,439.0
259,5.0,401.0,8.7,575.0
271,5.0,401.0,8.7,575.0
278,4.0,413.0,8.6,399.0
286,4.0,1553.0,8.7,525.0
289,4.0,413.0,8.6,399.0
291,5.0,401.0,8.7,575.0
303,3.0,7726.0,8.4,409.0
305,4.0,1679.0,8.1,342.0
308,4.0,413.0,8.6,399.0
309,4.0,2616.0,8.5,355.0
310,5.0,2946.0,8.7,530.0
312,5.0,1585.0,8.5,699.0
313,4.0,2216.0,8.5,449.0
314,5.0,1806.0,8.7,669.0
315,4.0,7045.0,8.2,395.0
316,4.0,1509.0,8.1,425.0
317,4.0,827.0,8.8,401.0
318,3.0,5345.0,7.5,359.0
319,4.0,413.0,8.6,399.0
320,4.0,1562.0,8.7,504.0
322,4.0,7045.0,8.2,395.0
323,4.0,2216.0,8.5,449.0
324,4.0,1449.0,7.9,359.0
326,5.0,401.0,8.7,575.0
327,5.0,1720.0,8.3,544.0
328,4.0,713.0,8.6,349.0
329,4.0,6114.0,8.2,531.0
331,4.0,264.0,8.7,439.0
333,4.0,832.0,8.8,455.0
334,4.0,1509.0,8.1,425.0
339,4.0,454.0,8.6,479.0
340,4.0,965.0,8.8,373.0
341,4.0,9904.0,7.2,332.0
342,4.0,870.0,8.2,399.0
343,4.0,6114.0,8.2,531.0
350,4.0,7045.0,8.2,395.0
351,4.0,1101.0,8.7,495.0
352,5.0,1292.0,9.1,770.0
354,4.0,1441.0,8.6,559.0
355,5.0,401.0,8.7,575.0
356,4.0,1553.0,8.7,525.0
357,4.0,2216.0,8.5,449.0
358,4.0,7045.0,8.2,395.0
359,4.0,2329.0,8.3,485.0
360,4.0,1509.0,8.1,425.0
364,5.0,910.0,9.2,806.0
365,5.0,1720.0,8.3,544.0
366,4.0,926.0,8.7,509.0
367,4.0,1101.0,8.7,495.0
368,5.0,1292.0,9.1,770.0
369,4.0,1441.0,8.6,559.0
370,5.0,401.0,8.7,575.0
372,4.0,1553.0,8.7,525.0
373,4.0,2216.0,8.5,449.0
374,4.0,7045.0,8.2,395.0
375,4.0,2329.0,8.3,485.0
376,4.0,1509.0,8.1,425.0
380,5.0,910.0,9.2,806.0
381,5.0,1720.0,8.3,544.0
382,4.0,926.0,8.7,509.0
383,4.0,2216.0,8.5,449.0
384,4.0,1509.0,8.1,425.0
385,4.0,7045.0,8.2,395.0
386,4.0,2329.0,8.3,485.0
389,5.0,1806.0,8.7,669.0
390,5.0,1292.0,9.1,770.0
391,4.0,1553.0,8.7,525.0
395,4.0,965.0,8.8,373.0
396,5.0,2464.0,9.0,595.0
397,5.0,1585.0,8.5,699.0
398,4.0,2861.0,8.3,509.0
399,5.0,401.0,8.7,575.0
400,3.0,658.0,8.1,450.0
414,4.0,1553.0,8.7,525.0
424,5.0,622.0,9.0,756.0
430,4.0,413.0,8.6,399.0
440,5.0,622.0,9.0,756.0
446,4.0,413.0,8.6,399.0
458,4.0,6629.0,7.1,386.0
459,4.0,7045.0,8.2,395.0
462,5.0,401.0,8.7,575.0
463,4.0,7045.0,8.2,395.0
464,4.0,2216.0,8.5,449.0
465,4.0,413.0,8.6,399.0
467,5.0,401.0,8.7,575.0
468,4.0,1101.0,8.7,495.0
470,4.0,1509.0,8.1,425.0
472,5.0,1292.0,9.1,770.0
473,4.0,2329.0,8.3,485.0
475,4.0,1553.0,8.7,525.0
477,5.0,910.0,9.2,806.0
478,5.0,1720.0,8.3,544.0
